NOMBRE,LINEA,lat,lng
Mexicaltzingo,12,19.35776253608585,-99.1231432322264
Ermita-12,12,19.359823503023833,-99.14163136305437
Eje Central,12,19.361341237938568,-99.15142336147862
Parque de los Venados,12,19.37065883497745,-99.15871771897177
Zapata-12,12,19.37084530155701,-99.165599315594
Hospital 20 de Noviembre,12,19.37201337695184,-99.17088446276829
Insurgentes Sur,12,19.373553470227108,-99.17825012925253
Mixcoac-12,12,19.37569882343627,-99.18673050109385
Pantitlán-A,A,19.415297524541934,-99.07192293715731
Agrícola Oriental,A,19.404618895931353,-99.06956646430945
Canal de San Juan,A,19.39876293119974,-99.05942280066026
Tepalcates,A,19.391276494960067,-99.04632939735716
Guelatao,A,19.385153887463556,-99.03565960069986
Peñón Viejo,A,19.373305051789014,-99.01705483641234
Acatitla,A,19.364717390396216,-99.00567271685955
Santa Marta,A,19.36030504737167,-98.99517832323626
Los Reyes,A,19.35903746198999,-98.97686678250444
La Paz,A,19.350561572133337,-98.96093725042675
Buenavista,B,19.446185903359645,-99.15235137742634
Guerrero-B,B,19.44514483254338,-99.14613872738674
Garibaldi/Lagunilla-B,B,19.44388963210198,-99.13786566485716
Lagunilla,B,19.443220041827658,-99.13023042923575
Tepito,B,19.442789391295424,-99.12406744029855
Morelos-B,B,19.439166627281327,-99.11956876702453
San Lázaro-B,B,19.432370934586487,-99.11296097266766
Ricardo Flores Magón,B,19.43656537337327,-99.10370874117547
Romero Rubio,B,19.440835354165493,-99.09420167473102
Oceanía-B,B,19.445694826958526,-99.08721732565787
Deportivo Oceanía,B,19.451011097259663,-99.07933423067036
Bosque de Aragón,B,19.458094772963857,-99.0692886960206
Villa de Aragón,B,19.461670791944844,-99.06138196686965
Nezahualcóyotl,B,19.472885633631996,-99.05461333650334
Impulsora,B,19.485753223001417,-99.0489571600943
Río de los Remedios,B,19.490688675585073,-99.04678664175502
Múzquiz,B,19.501490328356404,-99.0420671972603
Ecatepec,B,19.515125082713773,-99.0360693374375
Olímpica,B,19.521344934228452,-99.03334249438895
Plaza Aragón,B,19.528475893853724,-99.03018454966082
Ciudad Azteca,B,19.53451306511141,-99.0275097173377
